,artist,song,album,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Delta Sleep,Water Fall,Spring Island,51,0.217,0.208,7,-11.112,1,0.0434,0.967,0.0108,0.292,0.0787,206.289,99220,3
1,Delta Sleep,The Detail,Spring Island,51,0.477,0.637,7,-7.244,1,0.0385,0.056,0.0143,0.0904,0.545,112.574,269174,4
2,Delta Sleep,View to a Fill,Spring Island,51,0.349,0.795,11,-5.813,0,0.0693,0.0302,0.00176,0.13,0.446,79.704,220800,4
3,Delta Sleep,Planet Fantastic,Spring Island,51,0.519,0.753,4,-5.334,1,0.0412,0.0161,0.00307,0.448,0.316,148.326,232371,4
4,Delta Sleep,Forest Fire,Spring Island,51,0.478,0.262,2,-10.825,1,0.0281,0.718,0.585,0.232,0.0861,132.065,205539,4
5,Delta Sleep,The Softest Touch,Spring Island,51,0.375,0.707,11,-7.069,0,0.0331,0.0467,0.261,0.143,0.264,133.682,329636,4
6,Delta Sleep,Old Soul,Spring Island,51,0.214,0.772,4,-6.727,1,0.0582,0.00796,3.05e-05,0.327,0.342,74.545,249550,4
7,Delta Sleep,Dancing Music,Spring Island,51,0.208,0.0282,11,-30.62,1,0.0419,0.993,0.841,0.15,0.0389,70.406,70537,3
8,Delta Sleep,Spun,Spring Island,51,0.518,0.702,1,-7.569,0,0.0311,0.0525,0.0489,0.0878,0.444,78.06,274528,4
9,Delta Sleep,Hotel 24,Spring Island,51,0.372,0.743,11,-5.881,0,0.0321,0.0448,0.00235,0.531,0.583,106.439,257995,3
10,Delta Sleep,Contender,Spring Island,51,0.482,0.616,7,-6.568,1,0.0413,0.031,0.00575,0.132,0.189,115.389,314117,4
11,Delta Sleep,Water Rise,Spring Island,51,0.453,0.43,4,-12.283,0,0.041,0.858,0.209,0.283,0.467,82.914,156127,3
12,Delta Sleep,"Afterimage (Otto, TX, US)",Soft Sounds,41,0.6,0.292,9,-14.838,1,0.0517,0.778,0.556,0.121,0.53,81.034,181291,4
13,Delta Sleep,"Strongthany (Tokyo, JP)",Soft Sounds,41,0.47,0.453,1,-15.588,0,0.0688,0.547,0.134,0.0693,0.151,142.458,287403,4
14,Delta Sleep,"Dotwork (Paris, FR)",Soft Sounds,41,0.544,0.252,7,-12.839,1,0.0416,0.871,0.00186,0.159,0.239,140.771,298451,4
15,Delta Sleep,"Dream Thang (Brooklyn, NY, US)",Soft Sounds,41,0.472,0.371,4,-14.112,1,0.0339,0.757,0.307,0.108,0.201,123.271,161067,4
16,Delta Sleep,"Camp Adventure (Tokyo, JP)",Soft Sounds,41,0.357,0.512,8,-8.608,0,0.0363,0.68,1.6e-05,0.093,0.163,104.73,174707,4
17,Delta Sleep,"Sans Soleil (Paris, FR)",Soft Sounds,41,0.515,0.191,10,-15.873,0,0.0371,0.935,3.07e-05,0.114,0.35,106.72,184000,4
18,Delta Sleep,"Three Ghosts (Aegean Sea, TU)",Soft Sounds,41,0.368,0.318,1,-16.071,0,0.0356,0.942,0.899,0.893,0.28,65.039,120319,4
19,Delta Sleep,"Single File (Venice Beach, CA, US)",Soft Sounds,41,0.431,0.474,4,-12.631,1,0.0498,0.304,0.0405,0.592,0.544,147.0,317160,4
20,Delta Sleep,"El Pastor (Dallas, TX, US)",Soft Sounds,41,0.316,0.434,2,-13.001,1,0.047,0.86,0.012,0.346,0.106,133.924,333824,4
21,Delta Sleep,A Casa (Quarantine Version),Soft Sounds,41,0.746,0.433,4,-15.064,0,0.0344,0.622,0.068,0.19,0.587,137.055,260864,4
22,Delta Sleep,Sultans of Ping,Ghost City,43,0.166,0.669,9,-8.428,1,0.038,0.217,0.00905,0.146,0.263,82.961,286116,3
23,Delta Sleep,After Dark,Ghost City,43,0.341,0.667,6,-7.24,0,0.0359,0.0112,0.00754,0.144,0.2,159.729,283891,5
24,Delta Sleep,Ghost,Ghost City,43,0.375,0.149,9,-15.908,1,0.0372,0.27,0.646,0.134,0.0332,107.596,122133,4
25,Delta Sleep,Single File,Ghost City,43,0.404,0.788,4,-6.716,1,0.0531,0.0068,0.000475,0.243,0.331,132.978,309628,4
26,Delta Sleep,Dotwork,Ghost City,43,0.397,0.784,2,-6.681,1,0.0395,0.00832,0.00146,0.285,0.285,104.539,344792,4
27,Delta Sleep,Dream Thang,Ghost City,43,0.517,0.567,4,-7.143,1,0.0362,0.0335,0.00963,0.094,0.121,123.182,185510,4
28,Delta Sleep,Sans Soleil,Ghost City,43,0.339,0.75,10,-7.548,0,0.0318,0.0373,0.00368,0.109,0.331,155.131,272145,5
29,Delta Sleep,El Pastor,Ghost City,43,0.298,0.731,2,-7.52,1,0.079,0.00879,0.00145,0.0968,0.185,60.497,310047,4
30,Delta Sleep,Glass,Ghost City,43,0.305,0.13,7,-20.564,1,0.0313,0.844,0.719,0.322,0.0388,169.006,191142,3
31,Delta Sleep,Floater,Ghost City,43,0.278,0.694,1,-7.438,0,0.0449,0.00223,0.00166,0.116,0.133,61.087,336445,3
32,Delta Sleep,Afterimage,Ghost City,43,0.432,0.259,9,-17.348,1,0.0371,0.905,0.0389,0.135,0.425,166.416,176973,4
33,Delta Sleep,Assemble,Twin Galaxies,47,0.518,0.0658,5,-13.559,1,0.057,0.979,0.805,0.0571,0.76,113.025,45067,1
34,Delta Sleep,Uncle Ivan,Twin Galaxies,47,0.36,0.923,4,-4.321,1,0.0541,0.00252,0.0166,0.226,0.568,153.003,260573,3
35,Delta Sleep,21 Letters,Twin Galaxies,47,0.374,0.844,9,-5.925,1,0.0487,0.000232,0.207,0.161,0.553,121.928,320507,4
36,Delta Sleep,Aspetta,Twin Galaxies,47,0.429,0.0304,0,-15.95,1,0.0753,0.991,0.744,0.0931,0.0277,119.506,57747,4
37,Delta Sleep,Lake Sprinkle Sprankle,Twin Galaxies,47,0.514,0.475,8,-6.212,0,0.0527,0.00509,0.0,0.313,0.588,86.2,260813,4
38,Delta Sleep,Spy Turtles,Twin Galaxies,47,0.376,0.324,9,-15.174,0,0.0926,0.736,4.44e-05,0.301,0.372,64.155,133493,4
39,Delta Sleep,Spy Dolphin,Twin Galaxies,47,0.511,0.641,9,-6.381,0,0.0496,0.0273,0.00798,0.185,0.492,123.887,367720,3
40,Delta Sleep,Daniel Craig David,Twin Galaxies,47,0.61,0.632,4,-6.848,1,0.0524,0.0468,0.292,0.164,0.59,151.836,359813,3
41,Delta Sleep,Hungry for Love,Twin Galaxies,47,0.307,0.834,2,-6.661,1,0.194,0.00134,0.871,0.0943,0.287,166.438,180933,1
42,Delta Sleep,Strongthany,Twin Galaxies,47,0.407,0.69,1,-7.508,0,0.0527,0.00469,0.418,0.0783,0.216,142.642,312840,4
43,Delta Sleep,Camp Adventure,Twin Galaxies,47,0.407,0.841,8,-8.161,0,0.0339,0.15,0.153,0.296,0.422,135.389,189829,4
44,Delta Sleep,16: 40am,Management,42,0.261,0.797,9,-6.879,1,0.132,0.00645,0.0379,0.18,0.54,75.488,355318,4
45,Delta Sleep,Interlude,Management,42,0.536,0.494,8,-14.183,0,0.106,0.661,0.941,0.105,0.0383,112.613,35814,1
46,Delta Sleep,Jesus Bill!,Management,42,0.379,0.73,4,-7.798,1,0.0632,0.0405,0.0943,0.114,0.245,110.547,225254,3
47,Delta Sleep,Camp Adventure,Management,42,0.587,0.248,4,-17.298,1,0.0431,0.919,8.51e-05,0.369,0.418,137.99,186880,4
48,Delta Sleep,Dustbusters,Management,42,0.376,0.648,9,-9.505,0,0.0401,0.0301,0.305,0.115,0.168,134.523,396904,4
49,Delta Sleep,So Say We All,Management,42,0.269,0.795,9,-6.907,1,0.0638,0.00168,0.208,0.0667,0.234,151.798,314410,3
50,Delta Sleep,Maconiklaus Culkinski,Management,42,0.33,0.749,9,-7.961,1,0.0448,0.0116,0.885,0.0895,0.357,125.632,332073,4
51,Delta Sleep,Forest Fire,Forest Fire,21,0.478,0.262,2,-10.825,1,0.0281,0.718,0.585,0.232,0.0861,132.065,205539,4
52,Delta Sleep,View to a Fill,View to a Fill,23,0.349,0.795,11,-5.813,0,0.0693,0.0302,0.00176,0.13,0.446,79.704,220800,4
53,Delta Sleep,The Detail,View to a Fill,23,0.477,0.637,7,-7.244,1,0.0385,0.056,0.0143,0.0904,0.545,112.574,269174,4
54,Delta Sleep,The Detail,The Detail,37,0.477,0.637,7,-7.244,1,0.0385,0.056,0.0143,0.0904,0.545,112.574,269174,4
55,Delta Sleep,In the Air,Younger Years,35,0.409,0.6,7,-6.558,1,0.0295,0.0416,0.000183,0.19,0.43,140.188,267285,4
56,Delta Sleep,Sofa Boy,Younger Years,35,0.495,0.817,7,-5.691,1,0.0362,0.0331,0.0249,0.101,0.209,136.165,293062,4
57,Delta Sleep,Martin Martini (Interlude),Younger Years,35,0.263,0.00999,0,-32.287,1,0.035,0.985,0.918,0.0933,0.0336,64.481,93173,4
58,Delta Sleep,Constant Dreamer,Younger Years,35,0.314,0.942,9,-5.768,1,0.0563,0.00382,0.0695,0.0844,0.175,147.868,252145,4
59,Delta Sleep,Three Ghosts,Younger Years,35,0.298,0.171,9,-18.682,1,0.0347,0.684,0.782,0.116,0.105,130.087,167944,4
60,Delta Sleep,The Younger Years,Younger Years,35,0.397,0.636,4,-7.25,1,0.0402,0.0257,0.000196,0.198,0.204,142.925,447408,4
61,Delta Sleep,Sultans of Ping (featuring Tricot),Ghost City Rarities,24,0.173,0.58,9,-9.424,1,0.0358,0.106,0.000102,0.0664,0.173,73.464,272102,4
62,Delta Sleep,Afterimage (featuring Tricot),Ghost City Rarities,24,0.453,0.195,9,-18.831,1,0.0435,0.914,0.00293,0.395,0.351,166.668,178754,4
63,Delta Sleep,Single File (Acoustic Demo),Ghost City Rarities,24,0.426,0.267,4,-16.904,1,0.0333,0.909,0.0124,0.109,0.465,126.583,242461,4
64,Delta Sleep,Sans Soleil (Acoustic Demo),Ghost City Rarities,24,0.311,0.274,1,-14.276,1,0.0325,0.857,0.00846,0.107,0.404,154.856,189647,5
65,Delta Sleep,After Dark - Audiotree Live Version,Delta Sleep on Audiotree Live,16,0.343,0.616,6,-9.193,0,0.0318,0.0946,0.0226,0.11,0.321,158.387,266584,5
66,Delta Sleep,El Pastor - Audiotree Live Version,Delta Sleep on Audiotree Live,16,0.345,0.807,2,-8.873,1,0.0481,0.135,0.0282,0.137,0.305,136.85,269056,4
67,Delta Sleep,Camp Adventure - Audiotree Live Version,Delta Sleep on Audiotree Live,16,0.429,0.66,8,-10.286,0,0.0348,0.553,0.323,0.376,0.532,133.194,189520,4
68,Delta Sleep,Single File - Audiotree Live Version,Delta Sleep on Audiotree Live,16,0.405,0.754,4,-8.562,1,0.0394,0.293,0.00667,0.195,0.416,141.373,291149,4
69,Delta Sleep,Jesus Bill! - Audiotree Live Version,Delta Sleep on Audiotree Live,16,0.417,0.721,11,-9.331,1,0.0452,0.53,0.043,0.401,0.338,105.495,200820,1
70,Delta Sleep,Lake Sprinkle Sprankle - Audiotree Live Version,Delta Sleep on Audiotree Live,16,0.483,0.626,8,-9.216,0,0.0704,0.292,0.000339,0.156,0.536,86.143,260779,4
71,Delta Sleep,After Dark - Audiotree Live Version,Delta Sleep on Audiotree Live,19,0.342,0.616,6,-9.193,0,0.0318,0.0946,0.0241,0.11,0.321,158.382,266584,5
72,Delta Sleep,El Pastor - Audiotree Live Version,Delta Sleep on Audiotree Live,19,0.344,0.807,2,-8.873,1,0.0481,0.135,0.0281,0.137,0.3,136.843,269056,4
73,Delta Sleep,Camp Adventure - Audiotree Live Version,Delta Sleep on Audiotree Live,19,0.429,0.66,8,-10.286,0,0.0349,0.55,0.326,0.376,0.531,133.195,189520,4
74,Delta Sleep,Single File - Audiotree Live Version,Delta Sleep on Audiotree Live,19,0.405,0.756,4,-8.563,1,0.0394,0.287,0.00644,0.195,0.411,141.379,291149,4
75,Delta Sleep,Jesus Bill! - Audiotree Live Version,Delta Sleep on Audiotree Live,19,0.417,0.721,11,-9.331,1,0.0452,0.527,0.0436,0.401,0.338,105.495,200820,1
76,Delta Sleep,Lake Sprinkle Sprankle - Audiotree Live Version,Delta Sleep on Audiotree Live,19,0.483,0.627,8,-9.216,0,0.0702,0.294,0.000331,0.156,0.536,86.143,260779,4
77,monom,terminal,scarcity,14,0.384,0.856,1,-6.697,1,0.213,0.0169,0.115,0.395,0.15,119.443,107510,3
78,monom,evaporating,scarcity,14,0.228,0.703,8,-6.49,1,0.0718,0.0091,0.0411,0.171,0.231,94.616,137184,4
79,monom,obsession,scarcity,14,0.346,0.724,1,-6.257,0,0.0715,0.00245,0.111,0.105,0.162,115.029,140658,4
80,monom,fucked,scarcity,14,0.179,0.729,1,-8.915,0,0.438,0.0405,2.41e-05,0.59,0.186,81.63,192727,4
81,monom,the hospital,scarcity,14,0.256,0.697,8,-5.05,1,0.0716,0.0287,0.00267,0.202,0.257,87.424,149851,4
82,monom,but i won't,scarcity,14,0.427,0.615,1,-6.309,1,0.0644,0.156,0.00013,0.14,0.376,80.493,144317,4
83,monom,come to,scarcity,14,0.161,0.581,7,-7.423,1,0.0717,0.057,0.0111,0.155,0.222,79.567,173216,3
84,monom,dissolve,scarcity,14,0.281,0.706,6,-6.635,1,0.215,0.134,0.00624,0.555,0.0569,113.034,182486,4
85,monom,scarcity,scarcity,14,0.359,0.926,4,-3.801,1,0.118,0.0713,0.709,0.108,0.232,110.181,192817,4
86,monom,as i lie in wait,scarcity,14,0.327,0.494,4,-6.067,1,0.38,0.158,0.00245,0.452,0.303,123.87,197885,4
87,monom,forever,scarcity,14,0.209,0.467,10,-8.271,1,0.0505,0.0632,0.445,0.599,0.0381,76.315,213962,4
88,Nohidea,"and then, it swallowed me","and then, it swallowed me",35,0.592,0.595,8,-8.564,1,0.0313,0.883,0.0532,0.317,0.483,116.989,184494,4
89,Dags,"We All Like Theories, Let's Not Make Anything Ever Happen",To Lose La Track Goes to Japan,2,0.339,0.722,5,-8.417,1,0.0427,0.0912,0.306,0.112,0.174,149.974,352428,4
90,Delta Sleep,Spy Dolphin,To Lose La Track Goes to Japan,2,0.511,0.641,9,-6.381,0,0.0496,0.0273,0.00798,0.185,0.492,123.887,367720,3
91,Valerian Swing,Scilla,To Lose La Track Goes to Japan,2,0.151,0.86,6,-5.902,1,0.0633,0.01,0.758,0.0884,0.235,78.239,238067,4
92,Tiger! Shit! Tiger! Tiger!,Weird Times,To Lose La Track Goes to Japan,2,0.242,0.978,0,-5.013,1,0.1,1.1e-05,0.87,0.0909,0.039,124.428,224312,4
93,Riviera,Piscina,To Lose La Track Goes to Japan,2,0.287,0.782,8,-5.029,0,0.0528,0.116,0.852,0.233,0.311,92.71,293154,4
94,Quasiviri,Gravidance,To Lose La Track Goes to Japan,2,0.174,0.868,9,-5.828,1,0.058,6.99e-05,0.854,0.228,0.332,166.321,205293,3
95,Three In One Gentleman Suit,Ashes,To Lose La Track Goes to Japan,2,0.493,0.482,0,-8.102,1,0.0298,0.0166,0.0472,0.105,0.327,127.243,202413,4
96,Gazebo Penguins,Difetto,To Lose La Track Goes to Japan,2,0.2,0.924,2,-3.688,1,0.0895,0.000472,0.000191,0.298,0.346,177.393,142507,3
97,Cayman The Animal,"San Diego Coletti, Ca",To Lose La Track Goes to Japan,2,0.497,0.94,9,-3.778,0,0.117,5.77e-05,0.0163,0.119,0.787,160.064,152343,4
98,LAGS,Queen Bee,To Lose La Track Goes to Japan,2,0.409,0.883,1,-6.74,1,0.0463,1.18e-05,0.171,0.097,0.404,86.712,185341,5
99,Marnero,Il pendolo,To Lose La Track Goes to Japan,2,0.213,0.947,1,-5.881,0,0.0885,5.21e-06,0.813,0.304,0.157,122.014,284393,4
100,Action Dead Mouse,Ginnastica nell'acqua,To Lose La Track Goes to Japan,2,0.285,0.771,9,-6.618,0,0.0355,2.58e-05,0.699,0.0399,0.234,114.149,232421,4
101,Labradors,All I Have Is My Heart,To Lose La Track Goes to Japan,2,0.323,0.874,0,-5.35,1,0.0452,0.0213,0.0,0.0628,0.275,160.15,163934,4
102,Minnie's,Voglio Scordarmi Di Me,To Lose La Track Goes to Japan,2,0.384,0.837,2,-6.61,1,0.04,0.00667,0.0608,0.186,0.362,168.098,313400,4
103,Urali,Mary Anne (The Tailor),To Lose La Track Goes to Japan,2,0.501,0.5,10,-12.213,1,0.0383,0.33,0.000209,0.163,0.146,112.969,214431,4
104,Girless,Ernest,To Lose La Track Goes to Japan,2,0.682,0.162,9,-12.972,1,0.0328,0.858,4.92e-05,0.11,0.125,119.988,211698,4
105,HAVAH,Sappiamo Chi Sei,To Lose La Track Goes to Japan,2,0.627,0.606,0,-6.525,1,0.0307,0.000983,0.865,0.302,0.825,120.179,177664,4
106,Giona,Coerenza Tralala,To Lose La Track Goes to Japan,2,0.42,0.844,2,-4.5,1,0.0312,0.000422,0.898,0.494,0.374,155.003,188200,4
107,CRTVTR,A.M.,To Lose La Track Goes to Japan,2,0.576,0.82,7,-9.582,1,0.081,0.000209,0.212,0.0981,0.143,105.029,313202,4
108,Autunno,"Ponti, S.",To Lose La Track Goes to Japan,2,0.337,0.738,9,-13.932,1,0.0984,0.0786,0.259,0.324,0.23,121.22,236308,1
109,Beach Slang,Bad Art & Weirdo Ideas,Big Scary Monsters,4,0.244,0.896,4,-3.156,1,0.0737,6.41e-06,0.913,0.126,0.339,153.166,199046,4
110,Woahnows,Sounds Like Spitting,Big Scary Monsters,4,0.215,0.944,8,-4.024,1,0.0546,6.34e-06,7.01e-06,0.0712,0.621,90.884,103000,4
111,Gnarwolves,The Waiting Line,Big Scary Monsters,4,0.298,0.934,3,-6.236,0,0.198,0.000104,0.0494,0.127,0.425,101.823,139122,4
112,mewithoutYou,Red Cow,Big Scary Monsters,4,0.524,0.615,6,-6.5,0,0.0288,0.0131,0.113,0.17,0.521,93.991,239714,4
113,La Dispute,Woman - In Mirror,Big Scary Monsters,4,0.734,0.514,9,-14.697,0,0.0353,0.221,0.244,0.112,0.546,107.507,264253,4
114,Caspian,Sad Heart of Mine,Big Scary Monsters,4,0.389,0.451,5,-10.178,1,0.0348,0.0161,0.883,0.1,0.103,120.004,267333,3
115,Meet Me in St. Louis,The Torso Was Severed in Mid Thorax,Big Scary Monsters,4,0.327,0.766,2,-4.154,1,0.107,0.0021,0.0,0.0804,0.523,108.481,264173,4
116,Minus the Bear,Lies and Eyes,Big Scary Monsters,4,0.577,0.78,4,-4.81,0,0.0325,0.0529,0.000337,0.0643,0.69,110.271,240953,4
117,Delta Sleep,Spy Dolphin,Big Scary Monsters,4,0.511,0.641,9,-6.381,0,0.0496,0.0273,0.00798,0.185,0.492,123.887,367720,3
118,Axes,The One,Big Scary Monsters,4,0.416,0.839,2,-5.837,1,0.0726,0.000144,0.724,0.0873,0.703,113.019,239693,4
119,Yndi Halda,Golden Threads of the Sun - Single Edit,Big Scary Monsters,4,0.276,0.885,2,-9.727,1,0.0649,0.000235,0.78,0.194,0.0396,125.11,265450,4
120,Pet Symmetry,My Exhausted Month - Of May,Big Scary Monsters,4,0.465,0.465,2,-7.057,1,0.0322,0.502,0.0351,0.393,0.0902,124.81,126102,4
121,Kevin Devine,Fiscal Cliff,Big Scary Monsters,4,0.198,0.756,6,-4.849,1,0.0507,1.88e-05,1.16e-06,0.0987,0.556,173.368,188996,4
122,Sleep Kit,Foster Ghost Plan,Big Scary Monsters,4,0.28,0.707,11,-6.662,1,0.0425,0.1,0.0142,0.297,0.321,174.073,198806,4
123,Talons,The Wild Places,Big Scary Monsters,4,0.131,0.876,6,-9.678,0,0.0771,9.86e-05,0.862,0.148,0.161,159.484,273711,4
124,Beach Slang,Bad Art & Weirdo Ideas,Big Scary Monsters 2015 Sampler,11,0.244,0.896,4,-3.156,1,0.0737,6.41e-06,0.913,0.126,0.339,153.166,199046,4
125,Gnarwolves,The Waiting Line,Big Scary Monsters 2015 Sampler,11,0.298,0.934,3,-6.236,0,0.198,0.000104,0.0494,0.127,0.425,101.823,139122,4
126,Sleep Kit,Foster Ghost Plan,Big Scary Monsters 2015 Sampler,11,0.28,0.707,11,-6.662,1,0.0425,0.1,0.0142,0.297,0.321,174.073,198806,4
127,Meet Me in St. Louis,Ein Zwei Drei Hasslehoff,Big Scary Monsters 2015 Sampler,11,0.197,0.838,7,-4.64,1,0.109,0.000427,2.1e-06,0.106,0.259,179.737,351533,4
128,Pet Symmetry,My Exhausted Month - Of May,Big Scary Monsters 2015 Sampler,11,0.465,0.465,2,-7.057,1,0.0322,0.502,0.0351,0.393,0.0902,124.81,126102,4
129,Delta Sleep,Lake Sprinkle Sprankle,Big Scary Monsters 2015 Sampler,11,0.514,0.475,8,-6.212,0,0.0527,0.00509,0.0,0.313,0.588,86.2,260813,4
130,Caspian,Sad Heart of Mine,Big Scary Monsters 2015 Sampler,11,0.389,0.451,5,-10.178,1,0.0348,0.0161,0.883,0.1,0.103,120.004,267333,3
131,mewithoutYou,Mexican War Streets,Big Scary Monsters 2015 Sampler,11,0.502,0.802,5,-6.573,1,0.0499,0.0364,0.000237,0.104,0.574,141.963,214587,4
132,Cassels,Hating is Easy,Big Scary Monsters 2015 Sampler,11,0.217,0.809,1,-6.273,1,0.0538,0.000312,0.186,0.113,0.152,76.393,247250,4
133,Dummo,Maschera da cane,To Lose La Track 10 Anni,10,0.424,0.81,9,-4.367,1,0.0366,9.37e-05,0.000349,0.0668,0.722,76.769,104907,4
134,Tiger! Shit! Tiger! Tiger!,Whispers,To Lose La Track 10 Anni,10,0.261,0.956,2,-4.277,1,0.163,0.0628,0.0315,0.117,0.323,119.459,221173,4
135,Gazebo Penguins,Nevica,To Lose La Track 10 Anni,10,0.256,0.912,4,-5.795,1,0.0835,0.00717,0.0152,0.113,0.0623,154.892,178466,3
136,Crash Of Rhinos,Opener,To Lose La Track 10 Anni,10,0.282,0.886,0,-8.643,0,0.066,0.00164,1.91e-06,0.0878,0.283,141.109,253511,4
137,Delta Sleep,16: 40am,To Lose La Track 10 Anni,10,0.36,0.796,9,-6.767,1,0.0922,0.0052,0.0589,0.152,0.54,109.806,352354,4
138,CRTVTR,The Rental,To Lose La Track 10 Anni,10,0.414,0.749,5,-3.676,1,0.0612,0.0865,0.0682,0.0946,0.362,129.968,417689,4
139,Three In One Gentleman Suit,Parallels,To Lose La Track 10 Anni,10,0.593,0.923,0,-6.988,1,0.0838,0.000162,0.00133,0.355,0.689,150.13,174600,3
140,HAVAH,Martedì,To Lose La Track 10 Anni,10,0.405,0.846,10,-7.54,0,0.0344,0.000636,0.724,0.316,0.884,157.015,184000,4
141,Minnie's,Tragedia,To Lose La Track 10 Anni,10,0.509,0.948,0,-4.334,1,0.0432,6.5e-05,1.41e-05,0.115,0.584,134.936,200707,4
142,Fast Animals and Slow Kids,Fammi domande,To Lose La Track 10 Anni,10,0.592,0.749,2,-8.474,1,0.0483,0.00392,0.000628,0.263,0.542,159.991,217067,4
143,L'AMO,Non è semplice slacciare un reggiseno non soltanto perché non è semplice slacciare un reggiseno,To Lose La Track 10 Anni,10,0.295,0.836,7,-4.194,1,0.0644,0.00905,0.000287,0.231,0.378,131.662,209423,4
144,Riviera,Camminare sui muri,To Lose La Track 10 Anni,10,0.166,0.942,1,-4.617,1,0.0902,0.137,0.956,0.153,0.533,194.107,121149,4
145,Valerian Swing,Scilla,To Lose La Track 10 Anni,10,0.151,0.86,6,-5.902,1,0.0633,0.01,0.758,0.0884,0.235,78.239,238067,4
146,Chambers,Chiuso per fiere,To Lose La Track 10 Anni,10,0.412,0.966,5,-4.088,0,0.0479,0.00688,0.0312,0.107,0.635,164.983,223120,3
147,Altro,Nome,To Lose La Track 10 Anni,10,0.566,0.943,1,-2.186,0,0.0868,0.00582,1.4e-06,0.111,0.709,113.356,91480,4
148,DISQUIETED BY,Protogone,To Lose La Track 10 Anni,10,0.441,0.971,2,-6.378,1,0.0533,0.00011,0.358,0.341,0.454,98.0,108682,4
149,Verme,Va tutto malone,To Lose La Track 10 Anni,10,0.414,0.915,7,-4.447,1,0.0355,0.00157,0.00274,0.187,0.626,100.666,181707,4
150,Distanti,A fine giornata,To Lose La Track 10 Anni,10,0.255,0.89,4,-6.429,1,0.0453,0.099,0.0226,0.1,0.291,141.299,204173,4
151,Do Nascimiento,Fiato,To Lose La Track 10 Anni,10,0.42,0.533,4,-7.842,1,0.0296,0.51,0.000181,0.0586,0.422,62.516,145003,4
152,Caso,Parete Nord,To Lose La Track 10 Anni,10,0.576,0.547,1,-5.454,1,0.0552,0.3,8.65e-05,0.123,0.819,86.733,184667,4
153,Girless and the Orphan,Leaders,To Lose La Track 10 Anni,10,0.458,0.989,2,-5.592,1,0.0519,7.67e-05,0.912,0.125,0.313,100.028,86987,4
154,Crimea X,Christine,To Lose La Track 10 Anni,10,0.687,0.537,5,-11.403,0,0.0498,0.167,0.891,0.0921,0.584,113.001,393097,4
155,S U R V I V E,W115,To Lose La Track 10 Anni,10,0.671,0.445,5,-6.657,0,0.034,0.00656,0.914,0.413,0.394,93.735,283408,4
156,King Crimson,21st Century Schizoid Man - Live,Earthbound (Live),29,0.221,0.844,1,-7.15,1,0.116,0.314,0.654,0.458,0.706,96.898,698000,4
157,King Crimson,Peoria - Live,Earthbound (Live),29,0.686,0.868,2,-4.464,1,0.0885,0.087,0.297,0.332,0.867,90.013,442667,4
158,King Crimson,The Sailor's Tale - Live,Earthbound (Live),29,0.193,0.895,9,-4.865,0,0.0753,0.039,0.468,0.18,0.328,123.456,288333,3
159,King Crimson,Earthbound - Live,Earthbound (Live),29,0.413,0.917,10,-5.004,1,0.117,0.0733,0.337,0.395,0.779,136.665,375000,4
160,King Crimson,Groon - Live,Earthbound (Live),29,0.444,0.953,5,-7.854,0,0.278,0.207,0.536,0.164,0.34,140.254,931667,4
161,King Crimson,"Walk On... No Pussyfooting - Live (Pittsburgh, PA - Stanley Warner Theatre: April 29th, 1974)","The Great Deceiver (Pt, II.)",39,0.205,0.245,11,-25.257,1,0.0677,0.955,0.592,0.703,0.113,81.038,58506,4
162,King Crimson,"The Great Deceiver - Live (Pittsburgh, PA - Stanley Warner Theatre: April 29th, 1974)","The Great Deceiver (Pt, II.)",39,0.326,0.596,2,-13.489,1,0.149,0.0392,0.000828,0.0649,0.201,143.012,266782,3
163,King Crimson,"Improv - Bartley Butsford - Live (Pittsburgh, PA - Stanley Warner Theatre: April 29th, 1974)","The Great Deceiver (Pt, II.)",39,0.104,0.0731,11,-26.394,0,0.0397,0.933,0.327,0.323,0.0658,72.462,192271,4
164,King Crimson,"Exiles - Live (Pittsburgh, PA - Stanley Warner Theatre: April 29th, 1974)","The Great Deceiver (Pt, II.)",39,0.227,0.448,7,-17.263,1,0.0529,0.238,0.000276,0.676,0.15,151.181,439385,4
165,King Crimson,"Improv - Daniel Dust - Live (Pittsburgh, PA - Stanley Warner Theatre: April 29th, 1974)","The Great Deceiver (Pt, II.)",39,0.252,0.0635,2,-19.438,1,0.0427,0.91,0.0437,0.122,0.0395,97.335,249609,5
166,King Crimson,"The Night Watch - Live (Pittsburgh, PA - Stanley Warner Theatre: April 29th, 1974)","The Great Deceiver (Pt, II.)",39,0.257,0.419,11,-15.158,0,0.0675,0.717,0.00129,0.703,0.306,122.523,279493,4
167,King Crimson,"Doctor Diamond - Live (Pittsburgh, PA - Stanley Warner Theatre: April 29th, 1974)","The Great Deceiver (Pt, II.)",39,0.274,0.53,6,-10.977,0,0.0622,0.102,0.000792,0.764,0.412,65.88,311320,4
168,King Crimson,"Starless - Live (Pittsburgh, PA - Stanley Warner Theatre: April 29th, 1974)","The Great Deceiver (Pt, II.)",39,0.313,0.328,7,-15.207,0,0.0459,0.0587,0.246,0.704,0.116,126.504,746692,4
